Fly ash (Kg/m3),Slag (Kg/m3),Metakaolin (Kg/m3),Sodium Silicate (Kg/m3),Sodium Hydroxide (Kg/m3),Superplasticizer (Kg/m3),Fine Aggregate (Kg/m3),Coarse Aggregate (Kg/m3),Water (Kg/m3),Curing Temperature (C),Curing Days,CS (Mpa)
408,0,0,103,41,0,647,1201,20,80,28,59.1
390,0,0,167,67,0,585,1092,0,25,28,23.4
400,0,0,165,69,0,585,1092,0,25,1095,25.1
360,40,0,114.3,45.7,0,651,1209,0,20,28,40.1
320,80,0,114.3,45.7,0,651,1209,0,21,56,50.01
360,40,0,96,64,0,651,1209,0,22,90,52.04
320,80,0,96,64,0,651,1209,0,20,180,70.01
400,0,0,100,40,6,658,1222,0,21,28,25.02
360,40,0,100,40,6,655,1216,8,22,56,35.04
320,80,0,100,40,6,655,1216,8,20,90,43.02
400,0,0,84,56,6,658,1222,0,21,180,37
360,40,0,84,56,6,655,1216,8,22,7,14
320,80,0,84,56,6,655,1216,8,20,7,25
400,0,0,114.3,45.7,0,651,1209,0,60,3,50
360,40,0,114.3,45.7,0,651,1209,0,60,7,55
320,80,0,114.3,45.7,0,651,1209,0,60,28,58
280,120,0,114.3,45.7,0,651,1209,0,60,56,60
360,40,0,100,40,0,651,1209,0,22,3,18
360,40,0,128.5,51.5,0,651,1209,0,22,7,28
360,40,0,96,64,0,651,1209,0,22,28,40
360,40,0,106.7,53.3,0,651,1209,0,22,56,45
174,0,174,317.9,0,0,350,916,139.2,22,28,62
174,0,174,317.9,0,0,350,916,139.2,100,28,63
174,0,174,317.9,0,0,350,916,139.2,300,28,45
174,0,174,317.9,0,0,350,916,139.2,500,28,22
174,0,174,317.9,0,0,350,916,139.2,700,28,18
174,0,174,317.9,0,0,350,916,139.2,800,28,15
450,0,0,143,57,31.5,850,950,54,25,28,24.67
405,45,0,143,57,31.5,850,950,54,25,28,25.45
360,90,0,143,57,31.5,850,950,54,25,28,28.12
270,135,0,143,57,31.5,850,950,54,25,28,30.89
427.5,0,0,143,57,31.5,850,950,54,25,28,32.41
405,0,0,143,57,31.5,850,950,54,25,28,36.54
382.5,0,0,143,57,31.5,850,950,54,25,28,38.55
329.56,0,0,82.5,32.99,6.6,648.35,1203.99,79.0944,100,3,40
321.41,0,0,80.35,32.14,6.43,648.35,1203.99,83.5666,100,7,44
313.53,0,0,78.22,31.28,6.27,648.35,1203.99,87.7884,100,28,48
304.32,0,0,76.07,30.4,6.09,648.35,1203.99,91.296,100,3,52
297.75,0,0,74.44,29.77,5.95,648.35,1203.99,95.28,100,7,54
322.03,0,0,103.51,41.4,6.44,648.35,1203.99,77.2872,100,28,56
